Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee)
Deposit,2024-01-17 15:47:40,,,,"Transaction ID: N28473S92BBSGHG2",2e6cb01d-e730-4e87-aa24-cc59672a13fe,,,,,,,10000.00,"CZK",,,,,,,,,,
Market buy,2024-01-17 15:53:13,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",,EOF8903894850,2.4580120000,89.1200000000,USD,0.04387733,,"CZK",5000.00,"CZK",,,,,,,,,7.49,"CZK"
Market buy,2024-01-17 15:53:47,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF8903894946,1.8926740000,115.7400000000,USD,0.04387734,,"CZK",5000.00,"CZK",,,,,,,,,7.49,"CZK"
Deposit,2024-01-17 16:02:03,,,,"Free Shares Promotion",4591de61-d268-440a-a6b6-4bb7dbf31df3,,,,,,,294.59,"CZK",,,,,,,,,,
Market buy,2024-01-17 16:02:03,US8552441094,SBUX,"Starbucks",,EOF8903896097,0.1407460000,91.7200000000,USD,0.04388653,,"CZK",294.59,"CZK",,,,,,,,,0.44,"CZK"
Deposit,2024-01-17 16:22:44,,,,"Transaction ID: DXXQFZS438JQ4932",7e0df0ff-8e26-49c4-b0b5-091f37202ce6,,,,,,,5000.00,"CZK",,,,,,,,,,
Market sell,2024-01-17 18:01:28,US8552441094,SBUX,"Starbucks",,EOF8951010230,0.1407460000,91.7900000000,USD,0.04395888,-0.26,"CZK",293.45,"CZK",,,,,,,,,0.44,"CZK"
Deposit,2024-01-17 19:02:04,,,,"Free Shares Promotion",36cc5cab-e7d5-4b45-9bee-335854817d5e,,,,,,,272.00,"CZK",,,,,,,,,,
Market buy,2024-01-17 19:02:04,US5949181045,MSFT,"Microsoft",,EOF8951017527,0.0308000000,387.6000000000,USD,0.04395625,,"CZK",272.00,"CZK",,,,,,,,,0.41,"CZK"
Market buy,2024-01-18 15:21:26,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF8952487420,0.9776976000,116.3600000000,USD,0.04382146,,"CZK",2599.99,"CZK",,,,,,,,,3.89,"CZK"
Market buy,2024-01-18 15:21:43,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",,EOF8952487472,1.3176130000,89.4300000000,USD,0.04381395,,"CZK",2693.45,"CZK",,,,,,,,,4.03,"CZK"
Deposit,2024-01-29 13:23:12,,,,"Transaction ID: DDLQRZNZ2RMFQ632",76631e81-f101-4f16-a7d6-87d641a705e8,,,,,,,10000.00,"CZK",,,,,,,,,,
Market buy,2024-01-29 13:23:39,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF9551156343,0.9114584000,119.4400000000,USD,0.04361125,,"CZK",2499.99,"CZK",,,,,,,,,3.74,"CZK"
Market buy,2024-01-29 13:24:04,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",,EOF9551156390,1.2301780000,92.0300000000,USD,0.04360881,,"CZK",2600.00,"CZK",,,,,,,,,3.89,"CZK"
Market buy,2024-01-29 13:25:21,US62914V1061,NIO,"NIO",,EOF9551156462,18.3811800000,6.1600000000,USD,0.04361467,,"CZK",2599.99,"CZK",,,,,,,,,3.89,"CZK"
Market buy,2024-01-29 13:29:51,US9256521090,VICI,"VICI Properties",,EOF9551156859,3.2858620000,30.5000000000,USD,0.04363827,,"CZK",2300.02,"CZK",,,,,,,,,3.44,"CZK"
Deposit,2024-02-02 09:17:52,,,,"Transaction ID: KHPVFL92LPHR8HG2",0d398408-67cc-412b-a321-116df6cf9463,,,,,,,25000.00,"CZK",,,,,,,,,,
Market buy,2024-02-02 09:19:04,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF9703252820,1.8265271000,120.5200000000,USD,0.04377264,,"CZK",5036.55,"CZK",,,,,,,,,7.54,"CZK"
Market buy,2024-02-02 09:19:05,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF9703252825,1.7997183000,120.5400000000,USD,0.04377272,,"CZK",4963.44,"CZK",,,,,,,,,7.43,"CZK"
Market buy,2024-02-02 09:19:38,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",,EOF9703252866,4.7047070000,92.9000000000,USD,0.04377229,,"CZK",10000.00,"CZK",,,,,,,,,14.98,"CZK"
Deposit,2024-02-05 13:52:03,,,,"Free Shares Promotion",dced998c-e28f-4508-a0d1-2f0107dea9f5,,,,,,,657.47,"CZK",,,,,,,,,,
Market buy,2024-02-05 13:52:03,GB0008706128,LLOY,"Lloyds Banking Group",,EOF9901237125,53.2882660000,41.9900000000,GBX,3.42545281,,"CZK",657.47,"CZK",,,,,,,3.27,"CZK",0.98,"CZK"
Market sell,2024-02-05 13:53:10,GB0008706128,LLOY,"Lloyds Banking Group",,EOF9901237255,53.2882660000,41.9600000000,GBX,3.42557510,-0.49,"CZK",651.75,"CZK",,,,,,,,,0.98,"CZK"
Market buy,2024-02-05 19:10:16,US9256521090,VICI,"VICI Properties",,EOF9903830003,2.8874780000,29.7800000000,USD,0.04305913,,"CZK",2000.00,"CZK",,,,,,,,,3.00,"CZK"
Market buy,2024-02-06 12:22:30,US5398301094,LMT,"Lockheed Martin",,EOF9950436761,0.3709186000,422.9900000000,USD,0.04302851,,"CZK",3651.77,"CZK",,,,,,,,,5.47,"CZK"
Deposit,2024-02-12 11:53:14,,,,"Transaction ID: GX3X7SRDHF8JBFG2",a185ddfc-ca6a-411d-9b5d-88374968b5ab,,,,,,,10000.00,"CZK",,,,,,,,,,
Market buy,2024-02-12 12:10:18,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF10200210644,1.7497110000,121.8400000000,USD,0.04270092,,"CZK",5000.00,"CZK",,,,,,,,,7.49,"CZK"
Market buy,2024-02-12 12:10:36,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",,EOF10200210678,2.2524150000,94.6500000000,USD,0.04270218,,"CZK",5000.00,"CZK",,,,,,,,,7.49,"CZK"
Deposit,2024-02-12 13:30:47,,,,"Transaction ID: JBWHRXVZWZHTF232",c9782190-7dc3-4571-990b-9b547cd46786,,,,,,,10000.00,"CZK",,,10070.00,"CZK",-70.00,"CZK",,,,
Market buy,2024-02-12 13:31:23,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF10200217789,1.7516349000,121.7800000000,USD,0.04272682,,"CZK",5000.00,"CZK",,,,,,,,,7.49,"CZK"
