Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Deposit,2025-01-03 08:40:12,,,,"Transaction ID: WMXTMQG37BW43SF3",8750e4f0-fe9a-4e90-807d-1915391ded2d,,,,,,,5000.00,"CZK",,,5035.00,"CZK",-35.00,"CZK",,,,,,
Market buy,2025-01-03 08:40:35,NL0010273215,ASML,"ASML",,EOF25960342637,0.2896449000,685.0000000000,EUR,0.03974088,,"CZK",5000.00,"CZK",,,,,,,,,,,7.49,"CZK"
Market sell,2025-01-06 08:00:16,DE000CBK1001,CBK,"Commerzbank",,EOF26050888233,13.1055460000,15.7850000000,EUR,0.03980256,140.29,"CZK",5189.63,"CZK",,,,,,,,,,,7.80,"CZK"
Market buy,2025-01-07 08:00:08,NL0010273215,ASML,"ASML",,EOF26160799438,0.2758096000,747.0000000000,EUR,0.03975988,,"CZK",5189.62,"CZK",,,,,,,,,,,7.77,"CZK"
Deposit,2025-01-08 13:24:02,,,,"Transaction ID: HXDQL62CZPDL6NF3",d1da2529-c870-4da1-9b3a-4c3a016858d3,,,,,,,10000.00,"CZK",,,10070.00,"CZK",-70.00,"CZK",,,,,,
Deposit,2025-01-08 13:24:40,,,,"Transaction ID: CCZLJJ4LXCFKWRG6",4e3f8231-e60e-4b2d-b42c-5db678f76a9c,,,,,,,5000.00,"CZK",,,5035.00,"CZK",-35.00,"CZK",,,,,,
Market buy,2025-01-08 13:25:18,NL0010273215,ASML,"ASML",,EOF26250183130,0.2705550000,734.5000000000,EUR,0.03980415,,"CZK",5000.00,"CZK",,,,,,,,,,,7.49,"CZK"
Market buy,2025-01-08 13:25:39,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF26250183181,1.0608825000,192.9700000000,USD,0.04100512,,"CZK",5000.00,"CZK",,,,,,,,,,,7.49,"CZK"
Market buy,2025-01-08 13:26:05,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",,EOF26250183269,0.8734720000,112.5000000000,USD,0.04100550,,"CZK",2399.99,"CZK",,,,,,,,,,,3.59,"CZK"
Market buy,2025-01-08 13:26:23,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF26250183343,0.7654688000,139.0600000000,USD,0.04100199,,"CZK",2600.01,"CZK",,,,,,,,,,,3.89,"CZK"
Deposit,2025-01-09 13:59:06,,,,"Transaction ID: WVK27G6WVVZMLNF3",3c0d510f-b18a-4f44-ad1e-03e736c33d14,,,,,,,15000.00,"CZK",,,15105.00,"CZK",-105.00,"CZK",,,,,,
Market buy,2025-01-09 13:59:45,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",,EOF26257427563,1.8251130000,112.3200000000,USD,0.04106084,,"CZK",5000.00,"CZK",,,,,,,,,,,7.49,"CZK"
Market buy,2025-01-09 13:59:57,IE00BK5BQT80,VWRA,"Vanguard FTSE All-World (Acc)",,EOF26257427573,1.4738483000,139.1000000000,USD,0.04106389,,"CZK",5000.01,"CZK",,,,,,,,,,,7.49,"CZK"
Dividend (Dividend),2025-01-09 14:11:34,US9256521090,VICI,"VICI Properties",,,6.1733400000,0.367625,USD,24.36687846,,,55.30,"CZK",0.40,USD,,,,,,,,,,
Market buy,2025-01-10 01:00:03,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF26257448843,1.0528612000,194.6700000000,USD,0.04105359,,"CZK",5000.00,"CZK",,,,,,,,,,,7.49,"CZK"
Market sell,2025-01-10 01:00:08,US5949181045,MSFT,"Microsoft",,EOF26257449309,0.0308000000,423.0000000000,USD,0.04105372,45.76,"CZK",316.87,"CZK",,,,,,,,,,,0.48,"CZK"
